name,team_abbr,team_name,pos,jersey_number,goals_ref,assists_ref,own_goals_ref,points_ref,epl_in_ref,xg_ref,xa_ref,xpoints_ref,id
Kai Havertz,ARS,Arsenal,FWD,29,2,3,0,3.5,true,4.895509898662567,1.456983646377921,5.624001721851528,sr:player:937210
Noni Madueke,ARS,Arsenal,FWD,20,3,1,0,3.5,true,1.9964179322123528,4.010977517813444,4.001906691119075,sr:player:1300742
Ryan Sessegnon,FUL,Fulham,MID,30,3,1,0,3.5,true,2.04829409904778,2.2284331284463406,3.1625106632709503,sr:player:978193
Alexander Isak,LFC,Liverpool,FWD,9,3,1,0,3.5,true,3.2453083600848913,0.8461103290319443,3.6683635246008635,sr:player:925724
Michael Keane,EVE,Everton,DEF,5,3,1,0,3.5,true,3.5690636690706015,0.13012627139687538,3.634126804769039,sr:player:110846
James Tarkowski,EVE,Everton,DEF,6,2,3,0,3.5,true,2.8690776508301497,2.0567114762961864,3.897433388978243,sr:player:145188
Mathias Jensen,BRE,Brentford,MID,8,3,1,0,3.5,true,1.5882399883121252,5.333177657797933,4.2548288172110915,sr:player:775687
Amine Adli,BOU,Bournemouth,FWD,21,3,1,0,3.5,true,3.5744741037487984,1.2779199946671724,4.213434101082385,sr:player:1850922
Adrien Truffert,BOU,Bournemouth,DEF,3,1,5,0,3.5,true,1.9886900894343853,4.408130643889308,4.192755411379039,sr:player:1951496
Alex Jay Scott,BOU,Bournemouth,MID,8,3,1,0,3.5,true,3.5001351330429316,2.8919121669605374,4.9460912165232,sr:player:2131960
Yeremy Pino,CRY,Crystal Palace,FWD,10,2,2,0,3,true,4.372978935018182,8.502093791030347,8.624025830533355,sr:player:1634220
Chris Wood,NFO,Nottingham,FWD,11,3,0,0,3,true,3.365151971578598,0.321694266051054,3.525999104604125,sr:player:50480
Ibrahim Sangare,NFO,Nottingham,MID,6,2,2,0,3,true,1.5703946938738227,1.4491914678364992,2.2949904277920723,sr:player:1017603
Josko Gvardiol,MCI,Manchester City,DEF,24,2,2,0,3,true,1.8614049591124058,0.43760474771261215,2.080207332968712,sr:player:1645860
Dominic Solanke,TOT,Tottenham,FWD,19,3,0,0,3,true,3.586364097893238,0.5976490452885628,3.8851886205375195,sr:player:361420
Archie Gray,TOT,Tottenham,MID,14,2,2,0,3,true,1.588539564050734,1.6584226582199335,2.417750893160701,sr:player:2278985
Sean Longstaff,LEE,Leeds United,MID,8,2,2,0,3,true,1.3776587545871735,2.7682253569364548,2.761771433055401,sr:player:1090782
Mason Mount,MUN,Manchester United,MID,7,3,0,0,3,true,1.7446828484535217,1.3764615170657635,2.4329136069864035,sr:player:936126
Alejandro Garnacho,CFC,Chelsea,FWD,49,1,4,0,3,true,4.111795756965876,4.21896393597126,6.221277724951506,sr:player:1955902
Estevao,CFC,Chelsea,FWD,41,2,2,0,3,true,3.8740363344550133,2.8163073528558016,5.282190010882914,sr:player:2714244
Lewis Miley,NEW,Newcastle,MID,76,1,4,0,3,true,1.3760087750852108,2.321293480694294,2.536655515432358,sr:player:2558327
Alejandro Garnacho,AVL,Aston Villa,FWD,49,1,4,0,3,true,4.111795756965876,4.21896393597126,6.221277724951506,sr:player:1955902
Habib Diarra,SUN,Sunderland,MID,19,2,2,0,3,true,3.2528567891567945,0.644760662689805,3.575237120501697,sr:player:2202982
Gabriel Jesus,ARS,Arsenal,FWD,9,3,0,0,3,true,3.9764807410538197,0.20858897641301155,4.080775229260325,sr:player:835751
Gabriel Martinelli,ARS,Arsenal,FWD,11,1,4,0,3,true,5.357063241302967,2.569171307608485,6.64164889510721,sr:player:1663313
Emile Smith Rowe,FUL,Fulham,MID,32,3,0,0,3,true,4.261428236961365,1.417598308995366,4.970227391459048,sr:player:937004
Vitaly Janelt,BRE,Brentford,MID,27,1,4,0,3,true,0.7498585553839803,3.811057908460498,2.655387509614229,sr:player:822586
Tyler Adams,BOU,Bournemouth,MID,12,2,2,0,3,true,0.9289743825793266,1.2302900850772858,1.5441194251179695,sr:player:809778
Loum Tchaouna,COV,Coventry,FWD,,2,1,0,2.5,false,1.2590220803394914,1.1996374279260635,1.8588407943025231,sr:player:1975811
Pascal Gross,BRI,Brighton,MID,30,1,3,0,2.5,true,1.2529933378100395,3.2941888589411974,2.900087767280638,sr:player:48480
Charalampos Kostoulas,BRI,Brighton,FWD,19,2,1,0,2.5,true,2.256983704864979,1.2800643518567085,2.897015880793333,sr:player:2544947
