name,team_abbr,team_name,pos,jersey_number,goals_ref,assists_ref,own_goals_ref,points_ref,epl_in_ref,id
Mohamed Salah,LFC,Liverpool,FWD,11,29,18,0,38,true,sr:player:159665
Alexander Isak,NEW,Newcastle,FWD,14,23,6,0,26,true,sr:player:925724
Bryan Mbeumo,MUN,Manchester United,FWD,19,20,8,0,24,true,sr:player:1413499
Erling Haaland,MCI,Manchester City,FWD,9,22,3,0,23.5,true,sr:player:991181
Chris Wood,NFO,Nottingham,FWD,11,20,3,0,21.5,true,sr:player:50480
Yoane Wissa,BRE,Brentford,MID,11,19,4,0,21,true,sr:player:871210
Ollie Watkins,AVL,Aston Villa,FWD,11,16,8,0,20,true,sr:player:555386
Cole Palmer,CHE,Chelsea,MID,10,15,8,0,19,true,sr:player:1737609
Matheus Cunha,MUN,Manchester United,FWD,10,15,6,0,18,true,sr:player:1146986
Jarrod Bowen,WHU,West Ham,FWD,20,13,9,0,17.5,true,sr:player:552884
Jorgen Strand Larsen,WOL,Wolverhampton,FWD,9,14,4,0,16,false,sr:player:1065792
Jean Philippe Mateta,CRY,Crystal Palace,FWD,14,14,2,0,15,true,sr:player:1027583
Justin Kluivert,BOU,Bournemouth,FWD,19,12,5,0,14.5,true,sr:player:934234
Jacob Murphy,NEW,Newcastle,MID,23,8,12,0,14,true,sr:player:372336
Raul Jimenez,FUL,Fulham,FWD,7,12,3,0,13.5,true,sr:player:192442
Antoine Semenyo,BOU,Bournemouth,FWD,24,11,5,0,13.5,true,sr:player:1480070
Brennan Johnson,TOT,Tottenham,FWD,22,11,4,0,13,true,sr:player:1646334
Bruno Fernandes,MUN,Manchester United,MID,8,8,10,0,13,true,sr:player:288205
Joao Pedro Joao Pedro,CHE,Chelsea,FWD,20,10,6,0,13,true,sr:player:1710063
Liam Delap,CHE,Chelsea,FWD,9,12,2,0,13,true,sr:player:1886706
Morgan Rogers,AVL,Aston Villa,FWD,27,8,10,0,13,true,sr:player:1577506
